Sensor,Time Point,value
DC21410602,2022-01-13 21:00:00,3.28
DC21410602,2022-01-13 22:00:00,3.79
DC21410602,2022-01-13 23:00:00,4.17
DC21410602,2022-01-14 00:00:00,4.23
DC21410602,2022-01-14 01:00:00,4.61
DC21410602,2022-01-14 02:00:00,4.62
DC21410602,2022-01-14 03:00:00,4.86
DC21410602,2022-01-14 04:00:00,5.57
DC21410602,2022-01-14 05:00:00,6.08
DC21410602,2022-01-14 06:00:00,6.12
DC21410602,2022-01-14 07:00:00,4.81
DC21410602,2022-01-14 08:00:00,2.91
DC21410602,2022-01-14 09:00:00,1.82
DC21410602,2022-01-14 10:00:00,1.63
DC21410602,2022-01-14 11:00:00,1.1
DC21410602,2022-01-14 12:00:00,1.09
DC21410602,2022-01-14 13:00:00,1.15
DC21410602,2022-01-14 14:00:00,0.95
DC21410602,2022-01-14 15:00:00,0.22
DC21410602,2022-01-14 16:00:00,0.01
DC21410602,2022-01-14 17:00:00,0.01
DC21410602,2022-01-14 18:00:00,0.0
DC21410602,2022-01-14 19:00:00,0.0
DC21410602,2022-01-14 20:00:00,0.0
DC21410602,2022-01-14 21:00:00,0.15
DC21410602,2022-01-14 22:00:00,0.61
DC21410602,2022-01-14 23:00:00,0.83
DC21410602,2022-01-15 00:00:00,0.95
DC21410602,2022-01-15 01:00:00,0.79
DC21410602,2022-01-15 02:00:00,0.32
DC21410602,2022-01-15 03:00:00,0.13
DC21410602,2022-01-15 04:00:00,0.2
DC21410602,2022-01-15 05:00:00,0.36
DC21410602,2022-01-15 06:00:00,0.33
DC21410602,2022-01-15 07:00:00,0.25
DC21410602,2022-01-15 08:00:00,0.17
DC21410602,2022-01-15 09:00:00,0.14
DC21410602,2022-01-15 10:00:00,0.09
DC21410602,2022-01-15 11:00:00,0.11
DC21410602,2022-01-15 12:00:00,0.19
DC21410602,2022-01-15 13:00:00,0.23
DC21410602,2022-01-15 14:00:00,0.34
DC21410602,2022-01-15 15:00:00,0.6
DC21410602,2022-01-15 16:00:00,0.92
DC21410602,2022-01-15 17:00:00,1.13
