Sensor,Time Point,value
DC21410602,2022-01-10 14:00:00,428.58
DC21410602,2022-01-10 15:00:00,429.4
DC21410602,2022-01-10 16:00:00,426.58
DC21410602,2022-01-10 17:00:00,423.97
DC21410602,2022-01-10 18:00:00,418.07
DC21410602,2022-01-10 19:00:00,411.65
DC21410602,2022-01-10 20:00:00,404.02
DC21410602,2022-01-10 21:00:00,396.74
DC21410602,2022-01-10 22:00:00,394.27
DC21410602,2022-01-10 23:00:00,392.54
DC21410602,2022-01-11 00:00:00,392.58
DC21410602,2022-01-11 01:00:00,392.59
DC21410602,2022-01-11 02:00:00,392.91
DC21410602,2022-01-11 03:00:00,392.87
DC21410602,2022-01-11 04:00:00,391.85
DC21410602,2022-01-11 05:00:00,397.43
DC21410602,2022-01-11 06:00:00,400.03
DC21410602,2022-01-11 07:00:00,404.8
DC21410602,2022-01-11 08:00:00,410.27
DC21410602,2022-01-11 09:00:00,419.69
DC21410602,2022-01-11 10:00:00,428.22
DC21410602,2022-01-11 11:00:00,434.84
DC21410602,2022-01-11 12:00:00,437.67
DC21410602,2022-01-11 13:00:00,437.4
DC21410602,2022-01-11 14:00:00,439.4
DC21410602,2022-01-11 15:00:00,436.9
DC21410602,2022-01-11 16:00:00,433.38
DC21410602,2022-01-11 17:00:00,427.9
DC21410602,2022-01-11 18:00:00,422.16
DC21410602,2022-01-11 19:00:00,418.59
DC21410602,2022-01-11 20:00:00,417.47
DC21410602,2022-01-11 21:00:00,417.67
DC21410602,2022-01-11 22:00:00,418.41
DC21410602,2022-01-11 23:00:00,416.08
DC21410602,2022-01-12 00:00:00,413.32
DC21410602,2022-01-12 01:00:00,412.0
DC21410602,2022-01-12 02:00:00,410.4
DC21410602,2022-01-12 03:00:00,407.6
DC21410602,2022-01-12 04:00:00,406.31
DC21410602,2022-01-12 05:00:00,405.74
DC21410602,2022-01-12 06:00:00,406.46
DC21410602,2022-01-12 07:00:00,408.21
DC21410602,2022-01-12 08:00:00,414.18
DC21410602,2022-01-12 09:00:00,423.32
DC21410602,2022-01-12 10:00:00,428.01
DC21410602,2022-01-12 11:00:00,430.75
DC21410602,2022-01-12 12:00:00,445.29
DC21410602,2022-01-12 13:00:00,449.36
DC21410602,2022-01-12 14:00:00,452.55
DC21410602,2022-01-12 15:00:00,440.12
DC21410602,2022-01-12 16:00:00,436.31
DC21410602,2022-01-12 17:00:00,431.4
DC21410602,2022-01-12 18:00:00,429.28
DC21410602,2022-01-12 19:00:00,425.99
DC21410602,2022-01-12 20:00:00,421.55
DC21410602,2022-01-12 21:00:00,419.86
DC21410602,2022-01-12 22:00:00,430.6
DC21410602,2022-01-12 23:00:00,441.55
DC21410602,2022-01-13 00:00:00,443.32
DC21410602,2022-01-13 01:00:00,444.2
DC21410602,2022-01-13 02:00:00,442.94
DC21410602,2022-01-13 03:00:00,448.03
DC21410602,2022-01-13 04:00:00,464.72
DC21410602,2022-01-13 05:00:00,497.36
DC21410602,2022-01-13 06:00:00,531.56
DC21410602,2022-01-13 07:00:00,573.08
DC21410602,2022-01-13 08:00:00,607.81
DC21410602,2022-01-13 09:00:00,644.36
DC21410602,2022-01-13 10:00:00,670.01
DC21410602,2022-01-13 11:00:00,666.46
DC21410602,2022-01-13 12:00:00,630.14
DC21410602,2022-01-13 13:00:00,597.21
DC21410602,2022-01-13 14:00:00,553.14
DC21410602,2022-01-13 15:00:00,513.88
DC21410602,2022-01-13 16:00:00,483.9
DC21410602,2022-01-13 17:00:00,464.14
DC21410602,2022-01-13 18:00:00,460.31
DC21410602,2022-01-13 19:00:00,456.48
DC21410602,2022-01-13 20:00:00,452.66
DC21410602,2022-01-13 21:00:00,449.51
DC21410602,2022-01-13 22:00:00,450.74
DC21410602,2022-01-13 23:00:00,451.2
DC21410602,2022-01-14 00:00:00,452.38
DC21410602,2022-01-14 01:00:00,451.6
DC21410602,2022-01-14 02:00:00,448.88
DC21410602,2022-01-14 03:00:00,445.5
DC21410602,2022-01-14 04:00:00,442.24
DC21410602,2022-01-14 05:00:00,441.66
DC21410602,2022-01-14 06:00:00,440.82
DC21410602,2022-01-14 07:00:00,440.27
DC21410602,2022-01-14 08:00:00,435.92
DC21410602,2022-01-14 09:00:00,435.22
DC21410602,2022-01-14 10:00:00,436.5
DC21410602,2022-01-14 11:00:00,432.74
DC21410602,2022-01-14 12:00:00,431.9
DC21410602,2022-01-14 13:00:00,437.67
DC21410602,2022-01-14 14:00:00,442.21
DC21410602,2022-01-14 15:00:00,430.42
DC21410602,2022-01-14 16:00:00,424.35
DC21410602,2022-01-14 17:00:00,419.62
DC21410602,2022-01-14 18:00:00,415.24
DC21410602,2022-01-14 19:00:00,412.08
DC21410602,2022-01-14 20:00:00,410.84
DC21410602,2022-01-14 21:00:00,407.45
DC21410602,2022-01-14 22:00:00,405.84
DC21410602,2022-01-14 23:00:00,405.0
DC21410602,2022-01-15 00:00:00,405.23
DC21410602,2022-01-15 01:00:00,403.48
DC21410602,2022-01-15 02:00:00,402.15
DC21410602,2022-01-15 03:00:00,400.98
DC21410602,2022-01-15 04:00:00,400.46
DC21410602,2022-01-15 05:00:00,400.27
DC21410602,2022-01-15 06:00:00,400.39
DC21410602,2022-01-15 07:00:00,400.69
DC21410602,2022-01-15 08:00:00,401.13
DC21410602,2022-01-15 09:00:00,400.97
DC21410602,2022-01-15 10:00:00,400.05
DC21410602,2022-01-15 11:00:00,400.33
DC21410602,2022-01-15 12:00:00,402.96
DC21410602,2022-01-15 13:00:00,404.04
DC21410602,2022-01-15 14:00:00,401.98
DC21410602,2022-01-15 15:00:00,402.26
DC21410602,2022-01-15 16:00:00,403.05
DC21410602,2022-01-15 17:00:00,403.74
DC21410602,2022-01-15 18:00:00,404.45
DC21410602,2022-01-15 19:00:00,406.03
DC21410602,2022-01-15 20:00:00,407.45
DC21410602,2022-01-15 21:00:00,408.14
DC21410602,2022-01-15 22:00:00,408.23
DC21410602,2022-01-15 23:00:00,410.44
DC21410602,2022-01-16 00:00:00,410.83
DC21410602,2022-01-16 01:00:00,411.15
DC21410602,2022-01-16 02:00:00,411.58
DC21410602,2022-01-16 03:00:00,411.81
DC21410602,2022-01-16 04:00:00,412.37
DC21410602,2022-01-16 05:00:00,413.65
DC21410602,2022-01-16 06:00:00,414.52
DC21410602,2022-01-16 07:00:00,415.72
DC21410602,2022-01-16 08:00:00,416.37
DC21410602,2022-01-16 09:00:00,414.4
DC21410602,2022-01-16 10:00:00,414.1
DC21410602,2022-01-16 11:00:00,416.99
DC21410602,2022-01-16 12:00:00,412.6
DC21410602,2022-01-16 13:00:00,414.1
DC21410602,2022-01-16 14:00:00,416.15
DC21410602,2022-01-16 15:00:00,416.69
DC21410602,2022-01-16 16:00:00,415.66
DC21410602,2022-01-16 17:00:00,412.18
DC21410602,2022-01-16 18:00:00,409.37
DC21410602,2022-01-16 19:00:00,410.74
DC21410602,2022-01-16 20:00:00,401.97
DC21410602,2022-01-16 21:00:00,397.71
DC21410602,2022-01-16 22:00:00,394.73
DC21410602,2022-01-16 23:00:00,390.73
DC21410602,2022-01-17 00:00:00,388.94
DC21410602,2022-01-17 01:00:00,390.39
DC21410602,2022-01-17 02:00:00,388.51
DC21410602,2022-01-17 03:00:00,387.49
DC21410602,2022-01-17 04:00:00,387.5
DC21410602,2022-01-17 05:00:00,388.98
DC21410602,2022-01-17 06:00:00,390.35
DC21410602,2022-01-17 07:00:00,393.47
DC21410602,2022-01-17 08:00:00,394.58
DC21410602,2022-01-17 09:00:00,395.79
DC21410602,2022-01-17 10:00:00,395.89
DC21410602,2022-01-17 11:00:00,395.23
DC21410602,2022-01-17 12:00:00,393.53
DC21410602,2022-01-17 13:00:00,392.38
DC21410602,2022-01-17 14:00:00,392.57
DC21410602,2022-01-17 15:00:00,393.52
DC21410602,2022-01-17 16:00:00,394.75
DC21410602,2022-01-17 17:00:00,393.75
DC21410602,2022-01-17 18:00:00,394.05
DC21410602,2022-01-17 19:00:00,396.85
DC21410602,2022-01-17 20:00:00,393.93
DC21410602,2022-01-17 21:00:00,393.42
DC21410602,2022-01-17 22:00:00,393.44
DC21410602,2022-01-17 23:00:00,393.03
DC21410602,2022-01-18 00:00:00,392.65
DC21410602,2022-01-18 01:00:00,392.74
DC21410602,2022-01-18 02:00:00,392.36
DC21410602,2022-01-18 03:00:00,392.65
DC21410602,2022-01-18 04:00:00,393.68
DC21410602,2022-01-18 05:00:00,399.64
DC21410602,2022-01-18 06:00:00,402.96
DC21410602,2022-01-18 07:00:00,411.43
DC21410602,2022-01-18 08:00:00,418.08
DC21410602,2022-01-18 09:00:00,430.91
DC21410602,2022-01-18 10:00:00,437.39
DC21410602,2022-01-18 11:00:00,438.37
DC21410602,2022-01-18 12:00:00,442.99
DC21410602,2022-01-18 13:00:00,441.56
DC21410602,2022-01-18 14:00:00,439.87
DC21410602,2022-01-18 15:00:00,438.26
DC21410602,2022-01-18 16:00:00,433.84
DC21410602,2022-01-18 17:00:00,428.74
DC21410602,2022-01-18 18:00:00,425.27
DC21410602,2022-01-18 19:00:00,425.12
DC21410602,2022-01-18 20:00:00,427.99
DC21410602,2022-01-18 21:00:00,430.22
DC21410602,2022-01-18 22:00:00,440.62
DC21410602,2022-01-18 23:00:00,457.4
DC21410602,2022-01-19 00:00:00,464.46
DC21410602,2022-01-19 01:00:00,459.53
DC21410602,2022-01-19 02:00:00,449.73
DC21410602,2022-01-19 03:00:00,440.22
DC21410602,2022-01-19 04:00:00,432.19
DC21410602,2022-01-19 05:00:00,426.38
DC21410602,2022-01-19 06:00:00,420.76
DC21410602,2022-01-19 07:00:00,422.37
DC21410602,2022-01-19 08:00:00,427.0
DC21410602,2022-01-19 09:00:00,432.26
DC21410602,2022-01-19 10:00:00,437.4
DC21410602,2022-01-19 11:00:00,440.23
DC21410602,2022-01-19 12:00:00,439.81
DC21410602,2022-01-19 13:00:00,438.16
