Sensor,Time Point,value
DC21410602,2022-01-12 00:00:00,13.51
DC21410602,2022-01-12 01:00:00,13.53
DC21410602,2022-01-12 02:00:00,13.53
DC21410602,2022-01-12 03:00:00,13.59
DC21410602,2022-01-12 04:00:00,13.7
DC21410602,2022-01-12 05:00:00,13.76
DC21410602,2022-01-12 06:00:00,13.95
DC21410602,2022-01-12 07:00:00,14.14
DC21410602,2022-01-12 08:00:00,14.28
DC21410602,2022-01-12 09:00:00,14.36
DC21410602,2022-01-12 10:00:00,14.35
DC21410602,2022-01-12 11:00:00,14.44
DC21410602,2022-01-12 12:00:00,14.66
DC21410602,2022-01-12 13:00:00,14.83
DC21410602,2022-01-12 14:00:00,14.92
DC21410602,2022-01-12 15:00:00,15.04
DC21410602,2022-01-12 16:00:00,15.19
DC21410602,2022-01-12 17:00:00,15.34
DC21410602,2022-01-12 18:00:00,15.54
DC21410602,2022-01-12 19:00:00,15.72
DC21410602,2022-01-12 20:00:00,15.92
DC21410602,2022-01-12 21:00:00,16.12
DC21410602,2022-01-12 22:00:00,16.33
DC21410602,2022-01-12 23:00:00,16.41
DC21410602,2022-01-13 00:00:00,16.43
DC21410602,2022-01-13 01:00:00,16.53
DC21410602,2022-01-13 02:00:00,16.68
DC21410602,2022-01-13 03:00:00,16.84
DC21410602,2022-01-13 04:00:00,17.12
DC21410602,2022-01-13 05:00:00,17.66
DC21410602,2022-01-13 06:00:00,17.94
DC21410602,2022-01-13 07:00:00,18.45
DC21410602,2022-01-13 08:00:00,18.77
DC21410602,2022-01-13 09:00:00,18.89
DC21410602,2022-01-13 10:00:00,19.08
DC21410602,2022-01-13 11:00:00,19.21
DC21410602,2022-01-13 12:00:00,19.21
DC21410602,2022-01-13 13:00:00,19.23
DC21410602,2022-01-13 14:00:00,19.12
DC21410602,2022-01-13 15:00:00,18.99
DC21410602,2022-01-13 16:00:00,18.92
DC21410602,2022-01-13 17:00:00,18.92
DC21410602,2022-01-13 18:00:00,19.01
DC21410602,2022-01-13 19:00:00,19.18
DC21410602,2022-01-13 20:00:00,19.2
DC21410602,2022-01-13 21:00:00,19.24
DC21410602,2022-01-13 22:00:00,19.31
DC21410602,2022-01-13 23:00:00,19.35
DC21410602,2022-01-14 00:00:00,19.39
DC21410602,2022-01-14 01:00:00,19.39
DC21410602,2022-01-14 02:00:00,19.41
DC21410602,2022-01-14 03:00:00,19.45
DC21410602,2022-01-14 04:00:00,19.56
DC21410602,2022-01-14 05:00:00,19.75
DC21410602,2022-01-14 06:00:00,19.78
DC21410602,2022-01-14 07:00:00,20.03
DC21410602,2022-01-14 08:00:00,20.54
DC21410602,2022-01-14 09:00:00,21.02
DC21410602,2022-01-14 10:00:00,21.3
DC21410602,2022-01-14 11:00:00,21.67
DC21410602,2022-01-14 12:00:00,21.82
DC21410602,2022-01-14 13:00:00,21.93
DC21410602,2022-01-14 14:00:00,21.94
DC21410602,2022-01-14 15:00:00,21.65
